abril:8	mes:7	meses:7	especialistas:6	bcra:5	puntos:5	respecto:5	porcentuales:4	consultados:4	pronóstico:4	anterior:4	valor:4	tasa:4	inflación:3	corrección:3	alza:3	relevamiento:3	mercado:3	rem:3	banco:3	pronosticaron:3	pasado:3	encima:3	próximos:3	doce:3	oficial:3	proyectan:3	variación:3	pib:3	informe:3	dólar:3	mayo:3	tipo:3	cambio:3	consultores:2	económicos:2	esperan:2	fuerte:2	pronósticos:2	expectativas:2	central:2	expertos:2	índice:2	analistas:2	ipc:2	aumento:2	viernes:2	representa:2	estimaron:2	trimestre:2	marzo:2	libre:2	días:2	anteriores:2	estiman:2	actual:2	estimado:2	interés:2	badlar:2	título:1	relevados:1	resumen:1	publica:1	año:1	inflacionario:1	elevado:1	contenido:1	may:1	hicieron:1	ubicaron:1	cifra:1	ubica:1	según:1	publicó:1	hoy:1	igual:1	anticipan:1	total:1	precios:1	consumidor:1	dato:1	informado:1	próximo:1	tras:1	ida:1	vuelta:1	provocado:1	indec:1	anunciado:1	postergación:1	difusión:1	lunes:1	finalmente:1	retrajo:1	siguientes:1	espera:1	desaceleración:1	perforar:1	nunca:1	piso:1


inflación:17	fmi:12	acuerdo:11	programa:9	precios:8	política:8	tipo:8	tarifas:7	fiscal:7	cambio:7	debate:6	si:6	reducción:5	interés:5	tasa:5	déficit:5	economista:5	inflacionario:4	dólar:4	medidas:4	gobierno:4	marco:4	monetaria:4	emisión:4	consultora:4	devaluación:4	gasto:4	real:4	aumento:4	dijo:4	subsidios:4	hacer:4	cristina:3	fernández:3	pueden:3	organismo:3	fondo:3	monetario:3	aceleración:3	entonces:3	respuesta:3	aunque:3	menos:3	horizonte:3	baja:3	ritmo:3	argentina:3	energía:3	pxq:3	planteó:3	sino:3	herramientas:3	inflacionarias:3	oficial:3	positiva:3	menor:3	principalmente:3	parte:3	relativos:3	transporte:3	chouza:3	abrió:2	crítica:2	puntos:2	hoja:2	ruta:2	atrasar:2	suba:2	causante:2	variación:2	kirchner:2	economistas:2	acordado:2	marzo:2	¿habría:2	eff:2	contiene:2	metas:2	terreno:2	consideró:2	implica:2	financiamiento:2	reales:2	ciento:2	características:2	meta:2	anti:2	casi:2	sostuvo:2	indexación:2	público:2	previsional:2	salarial:2	preguntó:2	naturaleza:2	niveles:2	infobae:2	martínez:2	gerber:2	inflacionaria:2


dólar:14	usd:9	millones:9	mercado:8	pesos:7	bcra:6	ganó:5	argentina:4	reservas:4	oficial:4	bonos:4	gobierno:4	cambio:4	wall:3	street:3	subió:3	puntos:3	ypf:3	nueva:3	peso:3	saldo:3	viernes:3	dólares:3	promedio:3	país:3	mayorista:3	tipo:3	financiera:2	acciones:2	bolsa:2	s:2	p:2	merval:2	encabezaron:2	york:2	libre:2	terminó:2	comprador:2	precios:2	línea:2	adr:2	negociados:2	banco:2	central:2	fuerte:2	cierre:2	luego:2	mientras:2	día:2	semana:2	intervención:2	arrojaron:2	mejora:2	fin:2	alcanzó:2	contado:2	respecto:2	soja:2	indicó:2	divisas:2	finalizó:2	descomprimir:2	genera:2	desembolsos:2	fondo:2	fmi:2	cambiaria:2	venta:2	bancos:2	carga:2	tributaria:2	encima:2	título:1	jornada:1	argentinas:1	rebotaron:1	porteña:1	resumen:1	títulos:1	tgs:1	alzas:1	contenido:1	may:1	recuperaciones:1	mercados:1	coberturas:1	inversoras:1	creciente:1	inflación:1	devaluación:1	momentos:1	escasas:1	complican:1	escenario:1	económico:1	corto:1	plazo:1	índice:1	accionario:1	buenos:1


argentina:17	va:10	fiscal:9	dolarizar:9	dolarización:8	países:8	idea:7	crisis:7	cambio:7	unidos:7	economía:6	guidotti:6	pensar:6	si:6	monetaria:6	ser:6	banco:5	central:5	inflación:5	política:5	emergentes:5	tipo:5	tener:5	momento:5	superávit:4	país:4	luego:4	reserva:4	federal:4	bien:4	gobierno:4	menem:4	después:4	tal:4	así:4	metas:4	hacer:4	claro:4	hoy:4	año:4	grande:4	primario:4	régimen:4	haber:4	eeuu:3	cambiar:3	moneda:3	circunstancias:3	fmi:3	expresó:3	preocupación:3	hablar:3	américa:3	latina:3	regímenes:3	independiente:3	tequila:3	summers:3	tratado:3	técnico:3	ahora:3	además:3	fuerte:3	volatilidad:3	mundo:3	financiamiento:3	sino:3	podía:3	ejemplo:3	decir:3	flexible:3	problema:3	presidente:3	problemas:3	primero:3	pbi:3	ecuador:3	gran:3	vez:3	puede:3	programa:3	déficit:3	van:3	permitir:3	primera:2	lograr:2	ex:2	viceministro:2	pablo:2	lideró:2	conversaciones:2	clinton:2	comparó:2	aquellas:2	actuales:2	negociación:2	prematuro:2	mayoría:2	larry:2	tesoro:2

