mes:14	abril:8	estim:8	pronost:6	especial:6	anterior:6	bcra:5	punt:5	proyect:5	respect:5	tas:5	relev:4	banc:4	pronostic:4	porcentual:4	may:4	consult:4	inform:4	valor:4	esper:3	inflacion:3	correccion:3	alza:3	merc:3	rem:3	public:3	pas:3	ubic:3	encim:3	prox:3	doc:3	oficial:3	variacion:3	pib:3	dol:3	tip:3	cambi:3	consultor:2	econom:2	fuert:2	expect:2	central:2	expert:2	indic:2	anal:2	ipc:2	aument:2	viern:2	represent:2	trimestr:2	marz:2	libr:2	dias:2	actual:2	interes:2	badl:2	titul:1	resum:1	año:1	inflacionari:1	elev:1	conten:1	hic:1	cifr:1	segun:1	hoy:1	igual:1	anticip:1	total:1	preci:1	consumidor:1	dat:1	proxim:1	tras:1	ida:1	vuelt:1	provoc:1	indec:1	anunci:1	posterg:1	difusion:1	lun:1	final:1	retraj:1	siguient:1	desaceler:1	perfor:1	nunc:1	pis:1	mensual:1	real:1	product:1	intern:1	brut:1	empeor:1	asim:1	particip:1	prim:1	contraj:1	desestacionaliz:1


inflacion:17	fmi:12	acuerd:12	econom:11	program:9	inflacionari:9	preci:9	polit:9	tip:8	tarif:7	monetari:7	fiscal:7	cambi:7	debat:6	si:6	tas:6	real:6	atras:5	gast:5	reduccion:5	interes:5	deficit:5	aument:5	necesit:5	subsidi:5	dol:4	med:4	principal:4	gobiern:4	met:4	baj:4	marc:4	implic:4	posit:4	emision:4	consultor:4	herramient:4	devalu:4	part:4	nivel:4	dij:4	hac:4	cristin:3	fernandez:3	punt:3	sub:3	index:3	pued:3	organ:3	fond:3	aceler:3	entonc:3	respuest:3	aunqu:3	men:3	horizont:3	ritm:3	argentin:3	consider:3	energ:3	pxq:3	plante:3	sin:3	oficial:3	argument:3	menor:3	cumpl:3	pid:3	relat:3	transport:3	chouz:3	abri:2	critic:2	hoj:2	rut:2	aplic:2	causant:2	variacion:2	kirchn:2	acord:2	marz:2	surg:2	¿habr:2	eff:2	contien:2	deb:2	apunt:2	prepar:2	terren:2	mencion:2	estrategi:2	financi:2	cient:2	termin:2	caracterist:2	anti:2	casi:2	sostuv:2	public:2	previsional:2


dol:14	pes:11	usd:9	millon:9	merc:9	bcra:6	argentin:5	sub:5	gan:5	nuev:4	reserv:4	banc:4	oficial:4	bon:4	promedi:4	pais:4	gobiern:4	cambi:4	wall:3	street:3	punt:3	ypf:3	encabez:3	sald:3	viern:3	negoci:3	econom:3	indic:3	dolar:3	alcanz:3	mayor:3	tip:3	cambiari:3	titul:2	financ:2	accion:2	rebot:2	bols:2	s:2	p:2	merval:2	york:2	libr:2	termin:2	comprador:2	may:2	preci:2	line:2	adr:2	crecient:2	central:2	plaz:2	air:2	fuert:2	cierr:2	lueg:2	trep:2	mientr:2	sosten:2	consider:2	dia:2	seman:2	intervencion:2	ayud:2	arroj:2	mejor:2	agroexport:2	fin:2	expect:2	net:2	oper:2	segment:2	cont:2	respect:2	soj:2	ingres:2	divis:2	total:2	finaliz:2	descomprim:2	gener:2	car:2	desembols:2	fond:2	internacional:2	fmi:2	tranquil:2	pag:2	regul:2	impuest:2	liquid:2	vent:2	segu:2	carg:2	tributari:2	encim:2	jorn:1	porteñ:1	resum:1	tgs:1


dolariz:22	argentin:17	pais:12	cambi:11	econom:11	fiscal:10	monetari:10	va:10	polit:9	ide:7	crisis:7	unid:7	guidotti:6	preocup:6	negoci:6	pens:6	banc:6	central:6	reserv:6	lleg:6	si:6	hac:6	ser:6	problem:6	pued:6	primer:5	diferent:5	habl:5	sal:5	inflacion:5	permit:5	pas:5	asi:5	emergent:5	tip:5	met:5	pod:5	ten:5	moment:5	clar:5	cre:5	termin:5	superavit:4	actual:4	lueg:4	amer:4	independient:4	federal:4	bien:4	gobiern:4	menem:4	despues:4	tal:4	flexibl:4	hoy:4	año:4	grand:4	primari:4	ningun:4	regim:4	hab:4	baj:4	eeuu:3	logr:3	moned:3	circunst:3	fmi:3	expres:3	consider:3	mayor:3	latin:3	regimen:3	tequil:3	summers:3	trat:3	apoy:3	tecnic:3	quer:3	ahor:3	ademas:3	fuert:3	empez:3	volatil:3	mund:3	financi:3	sin:3	ultim:3	institucional:3	ejempl:3	dec:3	president:3	dej:3	situacion:3	pbi:3	ecuador:3	gran:3	vez:3	program:3	deficit:3	gener:3

